,filename,describe
0,p1-l11_20250404-155753,"✨Phòng  NỘI THẤT Cao Cấp Q5
Address: Cao Đạt Q5
 Tiện Ích
 Máy Giặt/ Sấy
 Phòng trang bị full nội thất. Khu vực an ninh, ra vào vân tay
✅ Phí
     Giá : 5tr4
     Điện: 4k/kwh, Nước: 100k/người
     Dịch vụ: 150k/phòng
     Phí xe: free 1 xe 
 ( Mr Phuc )"
1,p135-l14_20250404-172843,"Mình đang trống 2 phòng đủ nội thất, phòng rộng nha gác cao đứng được 

Toà nhà có bãi xe, giờ giấc tự do, khu vực yên tĩnh, ra vào vân tay 

Giá 4tr2 (thương lượng nhẹ) 
Gần Tdtu, Rmit,..."
2,p30-l2_20250404-160805,"Cho thuê phòng trọ giá có gác, có cửa sổ. Thoáng mát
======
- Phòng trọ rộng rãi, thoáng mát, phù hợp cho sinh viên hoặc người đi làm.
- Địa điểm thuận lợi, dễ dàng di chuyển đến các khu vực lân cận.
- Không gian sống yên tĩnh, an ninh đảm bảo.
======
Tòa nhà an ninh, Có hầm xe, thang máy.
Bảo vệ 24/24.
Đảm bảo tiêu chuẩn PCCC.

Call/ZL gặp Bảo để được hỗ trợ xem phòng nhanh chóng"
3,p141-l7_20250404-172843,"Vị Trí: Đường Hoà bình, gần Luỹ Bán Bích, Âu Cơ, 

Gần Đầm Sen, Copmart Hoà Bình, Đại học Văn Hiến.
Thuận tiện chạy qua Quận Bình tân, Tân bình, Quận 10

Tiện ích:
• Bãi gửi xe rộng rãi.
• Gác cao m8 - không giới hạn người ở
• Chi Phí cực rẻ - phù hợp cho các bạn sinh viên
• Giờ giấc tự do.
• Wifi tốc độ cao.
• Camera an ninh 24/7.
• Không chung chủ.

LIÊN HỆ SỐ ĐIỆN THOẠI BÊN DƯỚI ĐỂ ĐƯỢC TƯ VẤN MIỄN PHÍ."
4,p1-l15_20250404-155753,"Vị Trí : Lý Thường Kiệt - Quận 10 
( Gần ĐH Bách Khoa , Ngay ngã bã Bắc Hải , Tô hiến thành , ….) 

- Danh mục nội thất : Kệ bếp, tủ đồ, máy lạnh, tủ lạnh, giường, nệm

- Các loại phí: 
Điện : 4k/Kwh
Nước : 100k/Người
Phí dịch vụ: free (bao gồm: wifi,rác,vệ sinh hàng lang,máy giặt sấy chung,máy lọc nước)
Xe : free 2 chiếc

- Quy định số lượng người, số lượng xe: tối đa 2 người 2 xe

- Cho nuôi thú cưng hay không: không nuôi pet

- Khu vực giặt phơi : khoong"
5,p1-l1_20250404-155753," KHÔNG GIAN SỐNG LÝ TƯỞNG - PHÒNG VIP TỰ DO, KHÔNG CHUNG CHỦ 

**Bạn đang tìm một không gian sống riêng tư, tiện nghi và hoàn hảo?** Hãy để chúng tôi mang đến cho bạn trải nghiệm sống chất lượng không thể bỏ lỡ!

⚠️ Không nuôi thú cưng, không để xe điện

## ✨ TIỆN NGHI ĐẲNG CẤP
* **Phòng rộng thoáng** 25m² trên lầu với không khí trong lành
* **Toilet riêng** trong phòng - đảm bảo sự riêng tư tuyệt đối
* **Gác xép thông minh** giúp tối ưu không gian lưu trữ
* **Ban công và cửa sổ** mang đến ánh sáng tự nhiên, hành lang rộng rãi
* **Sân thượng phơi đồ** tiện lợi
* **Internet cáp quang Viettel** với Wifi tốc độ cao - luôn kết nối mọi lúc mọi nơi
* **Hệ thống camera an ninh 24/7** bảo vệ bạn và tài sản
* **Tự do giờ giấc** - không chung chủ - thoải mái tiếp bạn bè

##  VỊ TRÍ VÀNG

• 109/3E THẠNH XUÂN 22, THẠNH XUÂN, QUẬN 12 (Gần chợ Minh Phát) 

- Chỉ 2 phút ra tới chợ Minh Phát giúp bạn luôn mua được thực phẩm tươi ngon.
- Rất gần các cửa hàng tiện ích như BÁCH HÓA XANH,ministop, 


##  LÝ TƯỞNG CHO SINH VIÊN
Rất nhiều trường CD, ĐH xung quanh.

##  GIÁ HỢP LÝ
• Giá thuê: 1.9tr-3.5tr/tháng

- **MIỄN PHÍ:** Thang máy, máy giặt, phí để xe khách tới chơi.

• Điện: 3.800đ/số
• Nước: 75.000đ/người
• Xe: 125.000đ/xe/tháng
• Net: 60.000đ/người


⚠️ Không nuôi thú cưng, không để xe điện

** Liên hệ NGAY HÔM NAY ĐỂ XEM PHÒNG MIỄN PHÍ!**
*Phòng VIP tiện nghi, giá rẻ, không gian sống lý tưởng – số lượng có hạn!*"
6,p1-l20_20250404-155753,"✨Phòng Máy lanh nội thất căn bản 

Address: 232 Võ Văn Kiệt Q1 ( ngay ngã ba Võ Văn Kiệt - Đề Thám )
 Tiện Ích
 Máy Giặt
 Phòng trang bị nội thất căn bản, máy lạnh, máy giặt, nệm, tủ
 Giờ giấc tự do, ra vào vân tay
✅ Phí
     Giá 1tr5/ người ( phòng 2 người )
     Điện: 4k/kwh, Nước: 100k/người
     Dịch vụ: 100k/phòng
     Phí xe: free 1 xe 
 ( Mr Phuc )"
7,p1-l22_20250404-155753,"Khai trương ký túc xá mới gần SVĐ Phú Thọ

▫️Bao điện nước, máy lạnh 24/24, hầm xe, bảo vệ 24/7, giờ giấc tự do, có máy giặt chung, máy nước uống nóng lạnh free mà chỉ có 800k/tháng.

Có phòng 2 giường, 4 giường, 8 giường quẹo lựa, quẹo lựa mọi người ơi.

Hệ thống ký túc xá:
CN1: Bắc Hải, Quận 10
CN2: Đội Cung, Quận 11"
8,p1-l3_20250404-155753,"PHÒNG TRỌ MỚI TRỐNG SẴN XÁCH BALO VÀO Ở LIỀN NGAY NGÃ TƯ AN SƯƠNG 
Địa chỉ : 20 Đông Hưng Thuận 42, Tân Hưng Thuận, Q12  

GIÁ : 2TR3 - 2TR5

Nội thất sẵn MÁY LẠNH, NLMT, GIƯỜNG, NỆM 
Giờ giấc tự do, an ninh 24/24 

LIÊN HỆ TRỰC TIẾP ĐỂ ĐƯỢC TƯ VẤN!"
9,p1-l9_20250404-155753,"Địa Chỉ : Vòng xoay lê đại hành - Quận 10 
- Gần đại học bách khoa , văn hiến , Ueh , Huflit , 
- Gần Tô Hiến Thành , Thành Thái , Bắc Hải , Lý Thường Kiệt , Âu Cơ ,.

- Full nội thất , ban công cửa sổ thoáng

* không giới hạn người ở 

 PHÒNG: 3.990.000/ THÁNG 

* Nội thất: nệm , tủ quần áo , tủ lạnh , thiết bị vệ sinh , tủ lạnh , máy lạnh , bàn ghế ,
* Giờ giấc tự do ra vào vân tay 
* Có máy giặt chung sân thượng
* Điện : 3.800/kwh , Nước : 150.000/ người

Liên hệ mình: *** (Thuận)"
